ref,fecha,distrito,superficie_m2,habitaciones,banos,planta,ascensor,estado,anio_construccion,exterior,precio_eur,desviacion_inyectada,etiqueta_verdad
MD-0021,2025-09-27,Usera,89,3,2,0,True,a reformar,1992,True,217000,-0.1341,infraprecio_inyectado
MD-0022,2026-03-27,San Blas-Canillejas,100,3,2,1,False,buen estado,2009,True,414000,0.0,mercado
MD-0023,2025-09-09,Barajas,67,3,1,5,True,buen estado,1982,False,274000,0.0,mercado
MD-0024,2025-12-28,Hortaleza,108,4,2,4,False,buen estado,1937,True,406000,0.0,mercado
MD-0025,2026-04-07,Carabanchel,73,2,1,4,True,reformado,1979,False,205000,0.0,mercado
MD-0026,2025-10-24,Villa de Vallecas,69,3,1,4,True,buen estado,1927,True,267000,0.1261,sobreprecio_inyectado
MD-0027,2026-04-22,Puente de Vallecas,40,2,1,3,True,buen estado,1997,True,150000,0.1479,sobreprecio_inyectado
MD-0028,2026-06-22,Villa de Vallecas,89,3,2,8,True,reformado,1967,True,370000,0.0,mercado
MD-0029,2025-09-02,Vicalvaro,66,2,1,3,True,buen estado,2005,False,248000,0.0,mercado
MD-0030,2025-10-23,Retiro,64,3,1,6,True,buen estado,1983,False,386000,0.0,mercado
MD-0031,2026-02-14,Villaverde,63,2,1,8,True,a reformar,1974,True,122000,0.0,mercado
MD-0032,2025-10-02,Villaverde,123,5,2,7,True,buen estado,1981,True,353000,0.0,mercado
MD-0033,2026-02-08,Villa de Vallecas,173,5,3,2,True,buen estado,1993,False,618000,0.0,mercado
MD-0034,2026-03-17,Ciudad Lineal,76,3,2,5,True,buen estado,1951,False,274000,0.0,mercado
MD-0035,2025-10-10,Chamberi,94,4,2,5,True,buen estado,1961,False,740000,0.0,mercado
MD-0036,2025-11-19,Arganzuela,71,2,1,2,True,buen estado,1982,True,469000,0.0,mercado
MD-0037,2025-10-26,Salamanca,54,2,1,6,False,buen estado,1951,False,372000,0.0,mercado
MD-0038,2026-02-10,Chamartin,40,1,1,2,True,buen estado,1995,True,266000,0.0,mercado
MD-0039,2026-05-09,Fuencarral-El Pardo,49,1,1,6,True,a reformar,1992,False,181000,0.0,mercado
MD-0040,2026-05-28,Ciudad Lineal,37,2,1,2,True,buen estado,1962,False,149000,0.0,mercado
MD-0041,2025-09-21,Chamartin,64,2,1,5,True,buen estado,1945,True,603000,0.0,mercado
MD-0042,2025-09-04,Usera,63,2,1,0,True,buen estado,1990,True,260000,0.0,mercado
MD-0043,2025-12-07,Usera,84,3,2,3,True,buen estado,1937,True,364000,0.2616,sobreprecio_inyectado
MD-0044,2026-05-06,Puente de Vallecas,76,3,1,0,True,a reformar,1981,True,209000,0.0,mercado
MD-0045,2026-03-03,Retiro,176,6,2,1,False,buen estado,1928,True,863000,-0.2249,infraprecio_inyectado
MD-0046,2026-03-08,Chamberi,167,6,3,6,True,buen estado,1974,True,1723000,0.1464,sobreprecio_inyectado
MD-0047,2025-11-04,Tetuan,100,3,2,5,True,reformado,1951,True,517000,0.0,mercado
MD-0048,2026-01-11,Retiro,130,5,3,2,True,obra nueva,2023,False,665000,-0.2324,infraprecio_inyectado
MD-0049,2026-06-13,Vicalvaro,162,6,3,1,True,buen estado,1953,True,592000,0.0,mercado
MD-0050,2025-11-25,Arganzuela,190,6,3,5,False,a reformar,1961,True,909000,0.0,mercado
MD-0051,2026-02-23,Hortaleza,76,3,2,6,True,reformado,1984,True,517000,0.0,mercado
MD-0052,2025-10-30,San Blas-Canillejas,120,4,2,6,True,reformado,1987,False,576000,0.1962,sobreprecio_inyectado
MD-0053,2026-05-28,Tetuan,55,1,1,2,True,buen estado,1984,False,306000,0.0,mercado
MD-0054,2026-05-02,Puente de Vallecas,88,3,2,3,True,a reformar,1953,True,233000,0.0,mercado
MD-0055,2026-02-04,Latina,48,3,1,7,False,buen estado,1958,False,141000,0.0,mercado
MD-0056,2025-12-08,Carabanchel,60,2,1,5,False,buen estado,1947,True,173000,0.0,mercado
MD-0057,2026-02-10,Salamanca,72,2,1,4,True,a reformar,2000,True,677000,0.0,mercado
MD-0058,2026-04-13,Tetuan,63,3,1,7,True,reformado,2014,True,358000,0.0,mercado
MD-0059,2026-08-26,Puente de Vallecas,40,1,1,0,True,buen estado,2000,False,89000,0.0,mercado
MD-0060,2026-05-31,Puente de Vallecas,71,2,1,7,True,buen estado,1984,True,234000,0.1929,sobreprecio_inyectado
MD-0061,2025-11-28,Ciudad Lineal,46,1,1,2,True,buen estado,1986,True,202000,0.0,mercado
MD-0062,2025-09-11,Chamartin,105,4,2,8,True,buen estado,2004,True,786000,0.0,mercado
MD-0063,2026-07-10,Usera,53,2,1,7,True,reformado,1990,False,178000,0.2525,sobreprecio_inyectado
MD-0064,2025-10-19,Salamanca,180,6,3,0,False,reformado,1948,True,1879000,0.0,mercado
MD-0065,2026-03-04,Moratalaz,77,3,2,3,False,a reformar,1925,True,198000,0.0,mercado
MD-0066,2025-10-24,Centro,60,2,1,1,True,buen estado,1963,True,518000,0.0,mercado
MD-0067,2026-01-13,Fuencarral-El Pardo,64,2,1,1,True,reformado,1980,False,391000,0.2311,sobreprecio_inyectado
MD-0068,2026-05-03,Latina,59,3,1,8,False,reformado,1967,True,169000,0.0,mercado
MD-0069,2026-02-17,Vicalvaro,89,3,2,2,True,reformado,1973,True,296000,0.0,mercado
MD-0070,2026-08-05,Fuencarral-El Pardo,99,4,2,8,True,reformado,1956,True,752000,0.0,mercado
MD-0071,2026-05-28,Centro,88,3,2,1,True,buen estado,1943,True,782000,0.0,mercado
MD-0072,2026-07-02,Moratalaz,99,3,2,3,False,buen estado,1966,True,293000,0.0,mercado
MD-0073,2026-04-24,Usera,85,3,2,5,True,reformado,2006,True,248000,0.0,mercado
MD-0074,2026-04-23,Hortaleza,156,6,3,2,True,obra nueva,2025,True,950000,0.0,mercado
MD-0075,2026-07-21,Latina,64,2,1,3,True,a reformar,2013,False,153000,-0.1354,infraprecio_inyectado
MD-0076,2026-07-27,Chamberi,29,1,1,3,True,buen estado,1943,False,257000,0.0,mercado
MD-0077,2025-12-12,Retiro,87,3,2,6,True,reformado,2013,True,576000,0.0,mercado
MD-0078,2026-07-25,Centro,75,3,2,2,True,a reformar,1995,False,369000,0.0,mercado
MD-0079,2026-06-15,San Blas-Canillejas,96,4,2,3,True,buen estado,1999,True,322000,0.0,mercado
MD-0080,2026-06-17,Villa de Vallecas,52,1,1,2,True,buen estado,1987,True,143000,0.0,mercado
MD-0081,2026-01-19,Fuencarral-El Pardo,81,3,2,0,False,buen estado,1964,True,462000,0.0,mercado
MD-0082,2025-11-11,Chamartin,151,5,3,3,True,buen estado,1959,False,1162000,-0.1505,infraprecio_inyectado
MD-0083,2026-08-19,Chamartin,129,5,2,8,True,a reformar,1990,True,797000,0.0,mercado
MD-0084,2026-07-16,Villa de Vallecas,93,3,2,1,True,obra nueva,2023,True,435000,0.0,mercado
MD-0085,2026-05-14,Arganzuela,54,2,1,4,False,reformado,1949,True,303000,0.1299,sobreprecio_inyectado
MD-0086,2026-02-08,Villaverde,65,3,1,5,False,buen estado,1955,True,118000,-0.1892,infraprecio_inyectado
MD-0087,2026-04-14,Puente de Vallecas,127,5,2,7,True,a reformar,1996,True,314000,0.0,mercado
MD-0088,2025-12-24,Salamanca,178,6,3,3,True,reformado,1931,True,1817000,0.0,mercado
MD-0089,2026-01-14,Latina,64,3,1,7,True,buen estado,1954,False,213000,0.0,mercado
MD-0090,2026-07-17,Arganzuela,59,3,1,6,False,reformado,1939,True,355000,0.0,mercado
MD-0091,2026-04-10,Ciudad Lineal,127,5,2,5,True,reformado,2001,True,649000,0.0,mercado
MD-0092,2025-09-28,Hortaleza,150,6,3,8,True,a reformar,1961,True,586000,0.0,mercado
MD-0093,2026-03-26,Carabanchel,79,3,2,7,True,a reformar,1994,True,251000,0.0,mercado
MD-0094,2025-12-01,Moratalaz,90,4,2,6,True,reformado,1968,True,362000,-0.2377,infraprecio_inyectado
MD-0095,2026-03-10,Puente de Vallecas,38,2,1,5,True,buen estado,1976,True,89000,0.0,mercado
MD-0096,2026-08-28,San Blas-Canillejas,187,6,3,3,False,a reformar,1958,False,629000,0.2104,sobreprecio_inyectado
MD-0097,2025-10-04,Tetuan,80,3,2,1,True,reformado,1935,False,490000,0.0,mercado
MD-0098,2026-01-05,Fuencarral-El Pardo,184,6,3,8,True,buen estado,1915,True,951000,0.0,mercado
MD-0099,2026-06-15,Centro,97,3,2,7,False,buen estado,1954,True,716000,0.0,mercado
MD-0100,2026-03-14,Ciudad Lineal,55,2,1,4,True,a reformar,1982,True,214000,0.0,mercado
MD-0101,2026-02-08,Centro,97,4,2,5,True,buen estado,2000,False,557000,0.0,mercado
MD-0102,2026-07-18,Chamartin,78,3,2,1,False,buen estado,1977,True,575000,0.0,mercado
MD-0103,2026-08-19,Chamberi,70,3,1,6,True,buen estado,1973,False,601000,0.0,mercado
MD-0104,2026-04-18,Tetuan,86,3,2,6,True,reformado,1940,True,668000,0.0,mercado
MD-0105,2026-07-12,Salamanca,75,2,2,7,True,buen estado,2000,True,574000,0.0,mercado
MD-0106,2025-10-12,Vicalvaro,171,6,3,1,True,buen estado,1971,True,541000,0.0,mercado
MD-0107,2026-03-17,Latina,74,3,1,3,True,obra nueva,2024,True,350000,0.0,mercado
MD-0108,2026-07-25,Arganzuela,60,3,1,2,True,buen estado,1948,True,391000,0.0,mercado
MD-0109,2026-01-14,Vicalvaro,161,6,3,3,True,obra nueva,2025,False,563000,0.0,mercado
MD-0110,2026-05-08,Hortaleza,139,5,3,0,True,reformado,1972,True,664000,0.0,mercado
MD-0111,2026-02-05,Hortaleza,128,5,2,1,True,reformado,1979,True,980000,0.0,mercado
MD-0112,2026-04-23,Puente de Vallecas,58,1,1,3,True,buen estado,2012,True,191000,0.2133,sobreprecio_inyectado
MD-0113,2026-01-09,Hortaleza,79,3,2,6,True,reformado,1973,True,549000,0.0,mercado
MD-0114,2026-01-02,Salamanca,94,4,2,0,True,reformado,1974,False,1103000,0.0,mercado
MD-0115,2025-09-29,Ciudad Lineal,50,2,1,6,True,a reformar,1973,True,181000,0.0,mercado
MD-0116,2025-09-18,San Blas-Canillejas,61,2,1,5,True,a reformar,1984,False,233000,0.1384,sobreprecio_inyectado
MD-0117,2025-10-26,Latina,97,3,2,8,False,buen estado,1967,True,351000,0.0,mercado
MD-0118,2026-05-22,Retiro,46,2,1,1,True,buen estado,1999,True,377000,0.0,mercado
MD-0119,2025-09-09,Arganzuela,79,4,2,2,True,obra nueva,2026,True,649000,0.0,mercado
MD-0120,2025-10-14,San Blas-Canillejas,80,4,2,6,True,buen estado,1963,True,272000,0.0,mercado
MD-0121,2025-12-23,Centro,58,2,1,5,True,reformado,1968,True,408000,0.0,mercado
MD-0122,2026-02-12,Puente de Vallecas,80,2,1,7,True,buen estado,1967,True,172000,0.0,mercado
MD-0123,2025-09-25,Puente de Vallecas,59,3,1,8,False,a reformar,1953,False,110000,0.0,mercado
MD-0124,2026-01-14,Salamanca,74,3,1,5,True,a reformar,1964,True,646000,0.1906,sobreprecio_inyectado
MD-0125,2026-03-02,Chamberi,141,5,3,0,False,reformado,1961,True,1168000,0.0,mercado
MD-0126,2026-04-07,Chamartin,112,5,2,1,True,reformado,1978,True,1126000,0.0,mercado
MD-0127,2025-12-16,Moratalaz,71,4,1,6,True,reformado,1980,True,366000,0.0,mercado
MD-0128,2026-03-05,Hortaleza,55,2,1,2,True,reformado,1952,True,366000,0.0,mercado
MD-0129,2026-02-24,Fuencarral-El Pardo,47,2,1,4,True,buen estado,1985,False,209000,0.0,mercado
MD-0130,2026-06-17,Vicalvaro,129,4,2,7,True,buen estado,1978,True,510000,0.0,mercado
MD-0131,2026-07-11,Arganzuela,119,4,2,0,False,buen estado,1953,True,798000,0.0,mercado
MD-0132,2025-12-11,Salamanca,70,2,1,0,True,a reformar,1963,True,482000,0.0,mercado
MD-0133,2025-12-04,Fuencarral-El Pardo,57,2,1,0,True,buen estado,1986,True,434000,0.0,mercado
MD-0134,2025-12-05,Villa de Vallecas,142,5,3,1,True,reformado,1949,True,527000,0.0,mercado
MD-0135,2026-05-15,Chamberi,183,6,3,3,True,obra nueva,2023,True,2148000,0.0,mercado
MD-0136,2026-05-05,Puente de Vallecas,39,1,1,0,False,buen estado,1963,True,145000,0.0,mercado
MD-0137,2025-10-07,Centro,146,5,3,2,True,buen estado,1973,True,1085000,0.0,mercado
MD-0138,2026-01-21,Puente de Vallecas,42,1,1,5,True,a reformar,2013,True,99000,0.0,mercado
MD-0139,2025-09-10,Fuencarral-El Pardo,84,3,1,5,True,a reformar,1965,True,451000,0.0,mercado
MD-0140,2025-10-15,Ciudad Lineal,64,2,1,6,True,a reformar,1944,True,211000,0.0,mercado
MD-0141,2026-04-10,Salamanca,105,3,2,4,True,obra nueva,2023,False,1096000,0.0,mercado
MD-0142,2025-12-08,Moratalaz,67,2,1,4,True,obra nueva,2024,True,255000,0.0,mercado
MD-0143,2026-05-22,Moratalaz,90,3,2,2,True,buen estado,2008,True,333000,0.0,mercado
MD-0144,2025-09-18,Retiro,43,3,1,3,True,buen estado,1985,True,299000,-0.1924,infraprecio_inyectado
MD-0145,2026-02-06,Fuencarral-El Pardo,101,4,2,3,False,a reformar,1959,True,416000,0.0,mercado
MD-0146,2025-11-20,Hortaleza,175,6,3,3,False,buen estado,1965,True,721000,-0.1564,infraprecio_inyectado
MD-0147,2026-01-05,Carabanchel,31,1,1,4,False,buen estado,1968,True,88000,-0.1408,infraprecio_inyectado
MD-0148,2025-10-13,Puente de Vallecas,85,3,2,6,True,buen estado,1960,True,274000,0.0,mercado
MD-0149,2025-09-26,Vicalvaro,79,2,2,1,False,reformado,1944,True,248000,0.0,mercado
MD-0150,2025-12-03,Ciudad Lineal,60,2,1,4,True,a reformar,2014,False,239000,0.0,mercado
MD-0151,2025-10-12,Moratalaz,69,3,1,0,True,reformado,2001,True,269000,0.0,mercado
MD-0152,2025-10-07,Latina,72,2,1,2,True,buen estado,1979,False,265000,0.0,mercado
MD-0153,2025-09-19,Vicalvaro,171,6,2,3,True,a reformar,2003,True,541000,0.0,mercado
MD-0154,2026-02-12,Vicalvaro,47,1,1,1,True,buen estado,1978,True,152000,0.0,mercado
MD-0155,2026-07-18,Puente de Vallecas,29,1,1,8,False,buen estado,1950,False,64000,0.0,mercado
MD-0156,2026-01-17,Villa de Vallecas,57,2,1,4,True,buen estado,1958,True,252000,0.0,mercado
MD-0157,2025-10-09,Vicalvaro,89,3,2,2,False,buen estado,1956,True,350000,0.0,mercado
MD-0158,2025-09-21,Ciudad Lineal,104,4,2,4,True,buen estado,1984,False,368000,0.0,mercado
MD-0159,2025-10-15,Centro,169,6,3,2,True,a reformar,1979,False,693000,0.0,mercado
MD-0160,2025-10-07,Retiro,138,6,3,1,False,a reformar,1948,True,935000,0.0,mercado
MD-0161,2026-01-18,Centro,67,3,1,2,False,buen estado,1933,True,617000,0.0,mercado
MD-0162,2026-04-07,Puente de Vallecas,28,1,1,6,True,buen estado,2006,False,84000,0.0,mercado
MD-0163,2026-04-24,Chamberi,50,1,1,2,True,buen estado,1992,True,409000,0.0,mercado
MD-0164,2026-01-05,Latina,66,3,1,1,False,a reformar,1955,True,215000,0.0,mercado
MD-0165,2026-05-30,Latina,75,3,2,4,True,buen estado,1970,True,222000,0.0,mercado
MD-0166,2026-04-28,Hortaleza,60,2,1,6,True,reformado,1948,True,423000,0.0,mercado
MD-0167,2026-05-21,Puente de Vallecas,56,2,1,4,True,a reformar,2004,False,125000,0.0,mercado
MD-0168,2026-08-24,Hortaleza,105,4,2,0,False,reformado,1983,False,823000,0.2232,sobreprecio_inyectado
MD-0169,2026-08-14,Latina,179,6,3,4,False,reformado,1949,True,501000,-0.2613,infraprecio_inyectado
MD-0170,2025-12-14,Moncloa-Aravaca,66,3,1,3,True,reformado,2000,True,412000,-0.1407,infraprecio_inyectado
MD-0171,2026-07-27,Latina,94,4,1,2,False,reformado,1944,True,372000,0.0,mercado
MD-0172,2026-03-15,Usera,126,5,2,5,False,buen estado,1965,True,341000,0.0,mercado
MD-0173,2026-02-14,Carabanchel,64,3,1,1,True,buen estado,1985,True,207000,0.0,mercado
MD-0174,2026-07-24,Tetuan,52,2,1,2,True,buen estado,1985,False,256000,-0.1382,infraprecio_inyectado
MD-0175,2026-03-09,Villaverde,65,3,1,8,True,buen estado,1986,True,143000,0.0,mercado
MD-0176,2026-02-19,Puente de Vallecas,44,2,1,3,True,buen estado,1971,True,110000,0.0,mercado
MD-0177,2026-06-19,Latina,63,2,1,1,True,buen estado,1970,True,228000,0.0,mercado
MD-0178,2026-01-23,Arganzuela,75,2,2,0,True,reformado,2007,False,534000,0.0,mercado
MD-0179,2025-10-10,Vicalvaro,89,3,2,2,False,reformado,1937,True,410000,0.0,mercado
MD-0180,2026-05-31,Fuencarral-El Pardo,57,2,1,8,True,buen estado,1992,False,324000,0.0,mercado
MD-0181,2026-04-01,Carabanchel,56,2,1,3,True,buen estado,1985,True,200000,0.0,mercado
MD-0182,2026-04-30,Arganzuela,108,4,2,3,False,reformado,1967,True,642000,0.1883,sobreprecio_inyectado
MD-0183,2026-06-10,Carabanchel,60,2,1,8,True,buen estado,1943,True,201000,0.0,mercado
MD-0184,2025-11-17,Chamartin,176,6,2,6,True,buen estado,1983,True,1727000,0.0,mercado
MD-0185,2026-01-19,Tetuan,33,1,1,1,False,buen estado,1957,True,211000,0.0,mercado
MD-0186,2026-01-20,Tetuan,38,1,1,0,True,obra nueva,2023,True,247000,0.0,mercado
MD-0187,2025-10-18,Tetuan,60,1,1,7,True,obra nueva,2023,True,462000,0.0,mercado
MD-0188,2025-12-07,Fuencarral-El Pardo,165,6,3,6,True,reformado,1954,False,1011000,0.0,mercado
MD-0189,2025-10-12,Arganzuela,100,4,2,4,False,buen estado,1961,True,505000,0.0,mercado
MD-0190,2026-01-01,Hortaleza,90,3,2,2,True,a reformar,1929,True,295000,-0.147,infraprecio_inyectado
MD-0191,2025-09-19,Puente de Vallecas,58,2,1,7,True,a reformar,1972,True,151000,0.0,mercado
MD-0192,2026-02-26,Salamanca,30,2,1,7,False,buen estado,1933,True,251000,0.0,mercado
MD-0193,2025-11-12,Salamanca,43,2,1,5,False,reformado,1947,True,354000,0.0,mercado
MD-0194,2026-06-04,Puente de Vallecas,41,1,1,2,False,buen estado,1956,True,108000,0.0,mercado
MD-0195,2026-03-14,Salamanca,32,1,1,3,True,buen estado,1982,True,249000,0.0,mercado
MD-0196,2026-05-11,Latina,165,6,3,0,True,a reformar,1945,True,392000,0.0,mercado
MD-0197,2026-04-20,Tetuan,63,3,1,3,True,reformado,1977,True,395000,0.0,mercado
MD-0198,2026-03-30,Fuencarral-El Pardo,101,4,2,0,False,buen estado,1954,True,515000,0.0,mercado
MD-0199,2026-04-28,Retiro,99,2,2,5,True,reformado,1983,True,854000,0.0,mercado
MD-0200,2026-04-04,Tetuan,88,5,2,8,True,a reformar,1953,False,331000,0.0,mercado
MD-0201,2025-12-12,Arganzuela,52,2,1,0,True,a reformar,2015,False,279000,0.0,mercado
MD-0202,2025-09-20,Latina,67,3,1,6,True,a reformar,1972,False,155000,0.0,mercado
MD-0203,2025-10-31,Tetuan,104,3,1,3,True,reformado,1981,True,723000,0.0,mercado
MD-0204,2025-09-01,Moncloa-Aravaca,39,1,1,8,True,buen estado,1962,True,193000,0.0,mercado
MD-0205,2026-08-15,Latina,68,2,1,6,True,reformado,1952,False,259000,0.0,mercado
MD-0206,2026-06-20,Ciudad Lineal,46,2,1,6,False,buen estado,1966,True,198000,0.0,mercado
MD-0207,2025-11-05,Chamartin,77,3,2,1,False,a reformar,1960,True,620000,0.0,mercado
MD-0208,2026-05-02,Salamanca,61,2,1,1,True,a reformar,1983,True,555000,0.0,mercado
MD-0209,2025-10-23,Fuencarral-El Pardo,50,2,1,4,True,buen estado,1980,True,264000,0.0,mercado
MD-0210,2025-09-09,Centro,74,3,1,1,True,a reformar,1965,False,384000,0.0,mercado
MD-0211,2026-01-09,Ciudad Lineal,28,1,1,7,True,reformado,1991,True,151000,0.0,mercado
MD-0212,2026-07-30,Ciudad Lineal,84,4,2,2,True,buen estado,1987,True,395000,0.0,mercado
MD-0213,2025-10-04,Fuencarral-El Pardo,89,3,2,2,True,reformado,1980,False,512000,0.0,mercado
MD-0214,2026-06-15,Ciudad Lineal,58,2,1,4,True,buen estado,1962,True,247000,0.0,mercado
MD-0215,2026-08-04,Fuencarral-El Pardo,117,4,2,8,True,buen estado,1980,True,618000,0.0,mercado
MD-0216,2026-06-09,Villa de Vallecas,59,2,1,6,False,buen estado,1944,True,223000,0.0,mercado
MD-0217,2025-12-01,Ciudad Lineal,47,2,1,5,True,buen estado,1998,False,192000,0.0,mercado
MD-0218,2026-05-08,Barajas,68,3,1,3,True,buen estado,1996,True,335000,0.0,mercado
MD-0219,2025-11-19,Chamberi,54,2,1,8,True,reformado,1998,True,465000,0.0,mercado
MD-0220,2025-10-19,Retiro,106,3,1,8,False,a reformar,1966,True,698000,0.0,mercado
MD-0221,2026-02-16,Retiro,40,1,1,2,True,buen estado,2016,False,255000,0.0,mercado
MD-0222,2026-01-30,Moncloa-Aravaca,78,3,2,4,True,a reformar,1999,True,426000,0.0,mercado
MD-0223,2026-08-13,Chamartin,188,6,3,8,True,reformado,1984,True,1746000,0.0,mercado
MD-0224,2026-01-20,Hortaleza,151,6,3,2,True,reformado,1977,False,797000,0.0,mercado
MD-0225,2025-12-10,Chamartin,80,3,2,6,False,buen estado,1993,True,559000,0.0,mercado
MD-0226,2026-03-17,Chamartin,169,6,2,2,True,reformado,1988,True,1818000,0.0,mercado
MD-0227,2026-07-23,Salamanca,30,2,1,1,True,buen estado,1989,True,240000,0.0,mercado
MD-0228,2026-05-21,Carabanchel,62,2,1,8,True,reformado,1988,True,238000,0.0,mercado
MD-0229,2025-11-22,Villa de Vallecas,171,6,2,0,True,reformado,1918,True,620000,0.0,mercado
MD-0230,2026-01-17,Arganzuela,86,4,1,4,True,a reformar,1967,True,504000,0.0,mercado
MD-0231,2026-01-02,Carabanchel,43,2,1,6,True,obra nueva,2023,False,137000,0.0,mercado
MD-0232,2026-05-07,Usera,56,3,1,6,False,reformado,1953,True,159000,0.0,mercado
MD-0233,2026-08-13,Tetuan,30,1,1,0,True,buen estado,2000,True,150000,0.0,mercado
MD-0234,2026-07-03,Arganzuela,60,1,1,2,True,a reformar,1947,True,264000,0.0,mercado
MD-0235,2026-01-12,Hortaleza,62,2,1,8,False,reformado,1982,True,340000,0.0,mercado
MD-0236,2025-10-18,Villa de Vallecas,57,2,1,1,False,reformado,1976,True,237000,0.1521,sobreprecio_inyectado
MD-0237,2026-08-17,San Blas-Canillejas,54,2,1,2,False,a reformar,1934,False,155000,0.0,mercado
MD-0238,2026-06-30,Chamberi,131,5,3,6,True,a reformar,1953,True,625000,-0.2728,infraprecio_inyectado
MD-0239,2025-12-14,Latina,73,2,1,3,True,a reformar,1987,False,160000,0.0,mercado
MD-0240,2025-10-20,Salamanca,108,4,2,4,False,buen estado,1949,True,876000,0.0,mercado
MD-0241,2025-10-16,Fuencarral-El Pardo,80,2,2,4,True,buen estado,1979,False,377000,0.0,mercado
MD-0242,2026-08-13,Fuencarral-El Pardo,174,5,3,6,True,a reformar,2016,False,543000,0.0,mercado
MD-0243,2026-06-16,Fuencarral-El Pardo,119,3,2,2,True,a reformar,1930,True,576000,0.0,mercado
MD-0244,2026-04-06,Tetuan,78,3,2,2,True,buen estado,1941,True,477000,0.0,mercado
MD-0245,2026-08-20,Usera,59,2,1,1,True,a reformar,1943,True,116000,-0.216,infraprecio_inyectado
MD-0246,2025-10-24,San Blas-Canillejas,43,1,1,3,True,reformado,2005,True,163000,0.0,mercado
MD-0247,2026-04-23,Puente de Vallecas,43,1,1,8,True,buen estado,1976,True,146000,0.0,mercado
MD-0248,2026-07-22,Puente de Vallecas,39,2,1,2,True,buen estado,1976,True,105000,0.0,mercado
MD-0249,2026-08-30,Moratalaz,108,4,2,4,True,obra nueva,2025,True,502000,0.0,mercado
MD-0250,2026-08-26,Puente de Vallecas,40,1,1,5,True,a reformar,1969,True,90000,0.0,mercado
MD-0251,2025-09-13,Centro,62,2,1,2,False,buen estado,1944,True,513000,0.0,mercado
MD-0252,2026-05-04,Moncloa-Aravaca,54,2,1,5,True,reformado,1940,True,373000,0.0,mercado
MD-0253,2026-08-12,Villaverde,60,2,1,0,True,buen estado,1970,True,194000,0.0,mercado
MD-0254,2026-01-24,Hortaleza,64,2,1,4,True,buen estado,1938,False,440000,0.2753,sobreprecio_inyectado
MD-0255,2025-10-13,San Blas-Canillejas,85,3,2,8,True,obra nueva,2026,True,256000,-0.2721,infraprecio_inyectado
MD-0256,2026-05-29,Tetuan,90,4,1,5,True,a reformar,1974,True,364000,0.0,mercado
MD-0257,2025-11-10,San Blas-Canillejas,80,3,2,2,True,buen estado,1998,True,350000,0.0,mercado
MD-0258,2026-06-08,Latina,45,2,1,1,True,reformado,1998,True,192000,0.0,mercado
MD-0259,2026-07-09,Centro,119,4,2,8,True,buen estado,1951,True,980000,0.0,mercado
MD-0260,2025-10-11,Tetuan,48,2,1,8,False,buen estado,1955,True,200000,0.0,mercado
MD-0261,2026-05-13,Latina,66,3,1,2,True,buen estado,1954,True,226000,0.0,mercado
MD-0262,2026-04-18,Salamanca,160,5,3,5,True,buen estado,1964,True,1291000,0.0,mercado
